AXIS_ID,CODE,ORIENTATION,ORDER,NAME,DESCRIPTION,TABLE_ID,IS_OPEN_AXIS
EBA_FINREP_EBA_F_04_06_FINREP_1,,X,,EBA_FINREP_EBA_F_04.06_FINREP_1,,,
EBA_FINREP_EBA_F_04_06_FINREP_2,,Y,,EBA_FINREP_EBA_F_04.06_FINREP_2,,,
EBA_FINREP_EBA_F_04_06_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_04.06_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_04_06_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_04.06_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_04_06_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_04.06_FINREP_3.0-Ind_1,,,
EBA_FINREP_EBA_F_04_06_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_04.06_FINREP_3.0-Ind_2,,,
EBA_FINREP_EBA_F_04_07_FINREP_1,,X,,EBA_FINREP_EBA_F_04.07_FINREP_1,,,
EBA_FINREP_EBA_F_04_07_FINREP_2,,Y,,EBA_FINREP_EBA_F_04.07_FINREP_2,,,
EBA_FINREP_EBA_F_04_07_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_04.07_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_04_07_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_04.07_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_04_07_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_04.07_FINREP_3.0-Ind_1,,,
EBA_FINREP_EBA_F_04_07_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_04.07_FINREP_3.0-Ind_2,,,
EBA_FINREP_EBA_F_04_08_FINREP_1,,X,,EBA_FINREP_EBA_F_04.08_FINREP_1,,,
EBA_FINREP_EBA_F_04_08_FINREP_2,,Y,,EBA_FINREP_EBA_F_04.08_FINREP_2,,,
EBA_FINREP_EBA_F_04_08_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_04.08_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_04_08_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_04.08_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_04_08_FINREP_2_9_1,,X,,EBA_FINREP_EBA_F_04.08_FINREP_2.9_1,,,
EBA_FINREP_EBA_F_04_08_FINREP_2_9_2,,Y,,EBA_FINREP_EBA_F_04.08_FINREP_2.9_2,,,
EBA_FINREP_EBA_F_04_08_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_04.08_FINREP_3.0-Ind_1,,,
EBA_FINREP_EBA_F_04_08_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_04.08_FINREP_3.0-Ind_2,,,
