TABLE_ID,NAME,CODE,DESCRIPTION,MAINTENANCE_AGENCY_ID,VERSION,VALID_FROM,VALID_TO
EBA_FINREP_EBA_F_02_00_FINREP_2016-A,F 02.00,F_02.00,F 02.00 Statement of profit or loss,EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_02_00_FINREP_2017-A,F 02.00,F_02.00,F 02.00 Statement of profit or loss,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_02_00_FINREP_2_9,F 02.00,F_02.00,F 02.00 Statement of profit or loss,EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_02_00_FINREP_3_0-Ind,F 02.00,F_02.00,F 02.00 Statement of profit or loss,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_03_00_FINREP_2015-A,F 03.00,F_03.00,F 03.00 Statement of comprehensive income,EBA,FINREP 2015-A,,
EBA_FINREP_EBA_F_03_00_FINREP_2017-A,F 03.00,F_03.00,F 03.00 Statement of comprehensive income,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_03_00_FINREP_2_8,F 03.00,F_03.00,F 03.00 Statement of comprehensive income,EBA,FINREP 2.8,,
EBA_FINREP_EBA_F_03_00_FINREP_3_0-Ind,F 03.00,F_03.00,F 03.00 Statement of comprehensive income,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_01_FINREP,F 04.01,F_04.01,F 04.01 Breakdown of financial assets by instrument and by counterparty sector: financial assets held for trading,EBA,FINREP,,
EBA_FINREP_EBA_F_04_01_FINREP_2017-A,F 04.01,F_04.01,F 04.01 Breakdown of financial assets by instrument and by counterparty sector: financial assets held for trading,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_01_FINREP_3_0-Ind,F 04.01,F_04.01,F 04.01 Breakdown of financial assets by instrument and by counterparty sector: financial assets held for trading,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_02_1_FINREP_2017-A,F 04.02.1,F_04.02.1,F 04.02.1 Breakdown of financial assets by instrument and by counterparty sector: non-trading financial assets mandatorily at fair value through profit or loss,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_02_1_FINREP_3_0-Ind,F 04.02.1,F_04.02.1,F 04.02.1 Breakdown of financial assets by instrument and by counterparty sector: non-trading financial assets mandatorily at fair value through profit or loss,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_02_2_FINREP_2017-A,F 04.02.2,F_04.02.2,F 04.02.2 Breakdown of financial assets by instrument and by counterparty sector: financial assets designated at fair value through profit or loss,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_02_2_FINREP_3_0-Ind,F 04.02.2,F_04.02.2,F 04.02.2 Breakdown of financial assets by instrument and by counterparty sector: financial assets designated at fair value through profit or loss,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_02_FINREP,F 04.02,F_04.02,F 04.02 Breakdown of financial assets by instrument and by counterparty sector: financial assets designated at fair value through profit or loss,EBA,FINREP,,
EBA_FINREP_EBA_F_04_03_1_FINREP_2017-A,F 04.03.1,F_04.03.1,F 04.03.1 Breakdown of financial assets by instrument and by counterparty sector: financial assets at fair value through other comprehensive income,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_03_1_FINREP_2_9,F 04.03.1,F_04.03.1,F 04.03.1 Breakdown of financial assets by instrument and by counterparty sector: financial assets at fair value through other comprehensive income,EBA,FINREP 2.9,,
